1,google.com,0
2,facebook.com,0
3,youtube.com,3
4,yahoo.com,11,http://news.yahoo.com/video/oddnews-22772304/chinese-father-leaps-from-moving-car-to-save-daughter-29271629.html
5,baidu.com,0,http://tieba.baidu.com/p/1580714873
6,wikipedia.org,0,http://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Japan)
7,live.com,0,https://login.live.com/login.srf
8,twitter.com,1,https://twitter.com/#!/search/%23Mobile
9,qq.com,1
10,amazon.com,4
11,blogspot.com,1
12,linkedin.com,5
13,google.co.in,0
14,taobao.com,0
15,sina.com.cn,2,http://bj.house.sina.com.cn/exhibit/guanzhiye/index.html
16,yahoo.co.jp,0,http://dailynews.yahoo.co.jp/fc/domestic/nuclear_power_plant_reoperation/?1336776415
17,msn.com,10,http://editorial.autos.msn.com/sleeper-fuel-savers?icid=autos_2536
18,wordpress.com,5
19,google.de,0
20,t.co,
21,google.com.hk,0
22,ebay.com,3
23,googleusercontent.com,
24,google.co.uk,0
25,google.co.jp,0
26,yandex.ru,2,http://yaca.yandex.ru/yca/cat/Science/
27,163.com,1,http://news.163.com/12/0512/04/819ENO0F00014AEE.html
28,google.fr,0
29,weibo.com,1,http://topic.weibo.com/hotchpotch/23391
30,bing.com,3
31,microsoft.com,3
32,google.com.br,0
33,soso.com,0
34,mail.ru,3 
35,tumblr.com,2
36,paypal.com,3
37,pinterest.com,2
38,apple.com,2
39,google.it,0
40,vk.com,3
41,blogger.com,1
42,google.es,0
43,google.ru,0
44,babylon.com,1
45,craigslist.org,1
46,sohu.com,0,http://pic.news.sohu.com/group-345552.shtml#0
47,imdb.com,21,http://www.imdb.com/title/tt1993220/synopsis
48,flickr.com,1,http://www.flickr.com/photos/nypl/4058784908/?f=hp
49,bbc.co.uk,11,http://www.bbc.co.uk/news/world-europe-18041223
50,tudou.com,1,http://www.tudou.com/programs/view/fTUD1anSffk/
3357,classmates.com,21,http://www.classmates.com/places/school/Paramount-High-School/5470?startYear=2006&endYear=9999&type=registration